date,store_id,item_id,qty_sold,price,stock_on_hand,lead_time_days,ordering_cost,unit_cost,holding_rate
2024-01-01,S1,I1,24,38,34,4,100,20,0.2
2024-01-02,S1,I1,28,30,94,4,100,20,0.2
2024-01-03,S1,I1,29,45,43,4,100,20,0.2
2024-01-04,S1,I1,28,11,49,3,100,20,0.2
2024-01-05,S1,I1,27,42,95,3,100,20,0.2
2024-01-06,S1,I1,29,34,68,4,100,20,0.2
2024-01-07,S1,I1,33,37,79,4,100,20,0.2
2024-01-08,S1,I1,31,12,70,6,100,20,0.2
2024-01-09,S1,I1,33,48,37,5,100,20,0.2
2024-01-10,S1,I1,33,23,28,3,100,20,0.2
2024-01-11,S1,I1,29,11,79,5,100,20,0.2
2024-01-12,S1,I1,32,44,97,2,100,20,0.2
2024-01-13,S1,I1,28,49,23,3,100,20,0.2
2024-01-14,S1,I1,30,13,73,6,100,20,0.2
2024-01-15,S1,I1,26,35,63,3,100,20,0.2
2024-01-16,S1,I1,34,45,33,5,100,20,0.2
2024-01-17,S1,I1,32,49,99,6,100,20,0.2
2024-01-18,S1,I1,25,33,45,2,100,20,0.2
2024-01-19,S1,I1,31,38,34,6,100,20,0.2
2024-01-20,S1,I1,23,34,90,2,100,20,0.2
2024-01-21,S1,I1,29,10,27,4,100,20,0.2
2024-01-22,S1,I1,23,26,27,4,100,20,0.2
2024-01-23,S1,I1,22,42,24,3,100,20,0.2
2024-01-24,S1,I1,26,37,26,2,100,20,0.2
2024-01-25,S1,I1,26,21,53,2,100,20,0.2
2024-01-26,S1,I1,24,32,81,6,100,20,0.2
2024-01-27,S1,I1,20,49,54,2,100,20,0.2
2024-01-28,S1,I1,19,46,66,4,100,20,0.2
2024-01-29,S1,I1,17,14,33,4,100,20,0.2
2024-01-30,S1,I1,24,24,34,3,100,20,0.2
2024-01-31,S1,I1,25,22,70,2,100,20,0.2
2024-02-01,S1,I1,19,41,23,6,100,20,0.2
2024-02-02,S1,I1,22,48,34,4,100,20,0.2
2024-02-03,S1,I1,19,22,51,4,100,20,0.2
2024-02-04,S1,I1,18,31,47,3,100,20,0.2
2024-02-05,S1,I1,25,15,47,5,100,20,0.2
2024-02-06,S1,I1,19,39,81,4,100,20,0.2
2024-02-07,S1,I1,25,37,81,2,100,20,0.2
2024-02-08,S1,I1,17,36,81,2,100,20,0.2
2024-02-09,S1,I1,20,22,22,4,100,20,0.2
2024-02-10,S1,I1,26,46,70,3,100,20,0.2
2024-02-11,S1,I1,25,24,78,2,100,20,0.2
2024-02-12,S1,I1,22,21,58,3,100,20,0.2
2024-02-13,S1,I1,22,46,75,2,100,20,0.2
2024-02-14,S1,I1,21,11,21,5,100,20,0.2
2024-02-15,S1,I1,26,32,20,4,100,20,0.2
2024-02-16,S1,I1,23,35,51,5,100,20,0.2
2024-02-17,S1,I1,29,20,75,4,100,20,0.2
